IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2003321235,190,0,0,GALICIA,OURENSE,VALDEORRAS-TRIVES,CARBALLEDA DE VALDEORRAS,42.422829,-6.911091,8/10/2003,303,1743,4,Sin datos,66,6,8,0,0
2003322101,190,0,0,GALICIA,OURENSE,MIÑO-ARNOIA,XUNQUEIRA DE AMBÍA,42.153179,-7.707604,9/15/2003,1085,2164,4,Sin datos,78,0,12,0,0
2005130016,190,0,0,CASTILLA-MANCHA,CIUDAD REAL,MANCHA,VILLARUBIA DE LOS OJOS,39.217317,-3.643174,2/22/2005,300,540,2,QUEMA AGRÍCOLA (QUEMA DE RESTOS DE PODA),29,3,0,547,35956
2005240626,190,0,0,CASTILLA Y LEON,LEON,CANALES-LA MAGDALENA,RIELLO,42.80839,-6.019478,7/21/2005,675,1275,4,Provocados por pastores y ganaderos para regenerar el pasto,32,6,6,0,0
2005240671,190,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,TRABADELO,42.649719,-6.871984,8/6/2005,1893,3408,4,Sin datos,123,6,10,0,0
2006030006,190,0,0,C. VALENCIANA,ALICANTE,LA MARINA BAIXA,FINESTRAT,38.576015,-0.202376,3/7/2006,2007,2659,4,Sin datos,68,3,9,0,444213
2006490263,190,0,0,CASTILLA Y LEON,ZAMORA,ALCAÑICES,FONFRIA,41.648461,-6.211242,9/9/2006,1323,2883,1,RAYO,214,6,7,27363,0
2011390025,190,0,0,CANTABRIA,CANTABRIA,COMARCA 10,SOBA,43.19793,-3.546782,1/16/2011,1800,2640,4,Provocados por pastores y ganaderos para regenerar el pasto,3,0,0,0,30126
2004331739,189.79,0,0,ASTURIAS,ASTURIAS,NARCEA,CANGAS DEL NARCEA,43.105118,-6.550733,10/3/2004,1675,2684,4,Sin datos,33,4,6,0,73615
2002310042,189,0,0,NAVARRA,NAVARRA,ZONA 1,ITUREN,43.138128,-1.719192,2/2/2002,0,0,4,Sin datos,14,2,0,0,0
2002390116,189,0,0,CANTABRIA,CANTABRIA,COMARCA 3,TUDANCA,43.15603,-4.360318,1/29/2002,420,1080,4,Sin datos,16,0,0,135,55027
2001040046,188.6,0,0,ANDALUCIA,ALMERIA,SIERRA NEVADA  (AL),CANJÁYAR,37.052274,-2.716202,6/17/2001,360,450,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),114,8,8,0,0
2003100231,188,0,0,EXTREMADURA,CACERES,CACERES-CENTRO,MORALEJA,39.986328,-6.704693,8/1/2003,380,501,5,CAUSA DESCONOCIDA,27,1,1,0,0
2005240330,188,0,0,CASTILLA Y LEON,LEON,BENAVIDES DE ORBIGO,VALDESAMARIO,42.708244,-5.903507,2/18/2005,714,790,4,Sin datos,17,3,1,0,0
2007100199,188,0,0,EXTREMADURA,CACERES,AMBROZ-JERTE Y TIETAR,CABEZABELLOSA,40.112328,-6.013035,8/5/2007,1350,2700,1,RAYO,84,10,3,0,0
2003060531,187.34,0,0,EXTREMADURA,BADAJOZ,SIERRA DE SAN PEDRO,OTRA PROVINCIA,39.253778,-7.249774,8/2/2003,4320,14350,1,RAYO,45,2,3,0,103834
2010180110,186.79,0,0,ANDALUCIA,GRANADA,SIERRAS LITORALES,LOS GUAJARES,36.873113,-3.538878,10/30/2010,1064,2654,4,Sin datos,366,11,13,0,368247
2003130073,186.4,0,0,CASTILLA-MANCHA,CIUDAD REAL,MONTES NORTE,FONTANAREJO,39.208939,-4.510461,7/9/2003,396,1956,4,Sin datos,83,13,10,0,0
2006151077,186,0,0,GALICIA,A CORUÑA,BERGANTIÑOS-MARIÑAS COR,LAXE,43.164762,-9.029733,7/18/2006,1750,2490,4,Otras motivaciones,73,15,2,0,642448
2006240463,186,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,OENCIA,42.546098,-6.992083,9/8/2006,3824,4252,4,Sin datos,28,1,6,0,0
2005210073,185,0,0,ANDALUCIA,HUELVA,EL CONDADO,ALMONTE,37.183004,-6.673688,4/1/2005,557,742,5,CAUSA DESCONOCIDA,104,6,4,0,0
2005230248,185,0,0,ANDALUCIA,JAEN,SIERRA DE SEGURA,ORCERA,38.314052,-2.722677,8/7/2005,180,210,1,RAYO,103,5,2,0,0
2009320480,185,0,0,GALICIA,OURENSE,MIÑO-ARNOIA,PADRENDA,42.131558,-8.163165,3/20/2009,519,725,4,Otras motivaciones,63,6,10,0,918518
2006151037,184.77,0,0,GALICIA,A CORUÑA,BERGANTIÑOS-MARIÑAS COR,PONTECESO,43.257419,-8.926645,7/17/2006,858,2980,1,RAYO,40,5,0,0,434755
2001240437,184.5,0,0,CASTILLA Y LEON,LEON,TRUCHAS,TRUCHAS,42.268979,-6.414877,9/7/2001,4610,8900,4,Provocados por pastores y ganaderos para regenerar el pasto,92,2,7,5079,0
2003270354,184.3,0,0,GALICIA,LUGO,LUGO-SARRIA,CASTROVERDE,43.04557,-7.382334,6/21/2003,865,1825,4,Sin datos,33,4,1,3755,1230904
2005151768,184.3,0,0,GALICIA,A CORUÑA,BARBANZA,RIBEIRA,42.584255,-8.976199,8/14/2005,1380,2360,4,Sin datos,102,11,7,0,0
2008331045,184.21,0,0,ASTURIAS,ASTURIAS,ORIENTE,PONGA,43.234596,-5.256065,2/24/2008,0,0,4,Provocados por pastores y ganaderos para regenerar el pasto,0,0,0,0,118014
2010321056,184.14,0,0,GALICIA,OURENSE,VERIN-VIANA,CASTRELO DO VAL,42.047372,-7.272809,8/31/2010,2140,4250,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,187,15,11,0,2135
2003100324,184.04,0,0,EXTREMADURA,CACERES,CACERES-CENTRO,PUERTO DE SANTA CRUZ,39.28885,-5.843668,7/30/2003,90,120,3,LÍNEAS ELÉCTRICAS,171,4,1,0,0
2002362573,184,0,0,GALICIA,PONTEVEDRA,CALDAS-O SALNES,LAMA,42.398115,-8.357287,8/30/2002,3165,3175,4,Provocados por pastores y ganaderos para regenerar el pasto,16,8,0,58731,0
2004160164,184,0,0,CASTILLA-MANCHA,CUENCA,SERRANIA MEDIA,PESQUERA,39.584851,-1.568519,8/24/2004,1310,3320,1,RAYO,218,9,20,109599,164862
2002040042,183,0,0,ANDALUCIA,ALMERIA,ALMERÍA,BENAHADUX,36.904594,-2.51194,6/26/2002,565,645,1,RAYO,45,0,2,3500,2195
2004322369,183,0,0,GALICIA,OURENSE,VALDEORRAS-TRIVES,BARCO DE VALDEORRAS,42.394809,-7.007454,7/27/2004,1910,3050,4,Sin datos,35,5,8,0,70193
2004330197,183,0,0,ASTURIAS,ASTURIAS,EO-NAVIA,VILLAYÓN,43.413647,-6.704597,2/4/2004,0,0,5,CAUSA DESCONOCIDA,15,1,2,0,23165
2008390154,183,0,0,CANTABRIA,CANTABRIA,COMARCA 10,SOBA,43.19793,-3.546782,2/15/2008,0,0,4,Provocados por pastores y ganaderos para regenerar el pasto,0,0,0,0,28193
2002321577,182,0,0,GALICIA,OURENSE,MIÑO-ARNOIA,XUNQUEIRA DE ESPADANEDO,42.346303,-7.641241,4/25/2002,375,630,4,Provocados por cazadores para facilitar la caza,32,3,5,0,176013
2003060515,182,0,0,EXTREMADURA,BADAJOZ,LA SERENA,CAMPANARIO,38.882093,-5.597679,7/6/2003,0,0,4,Provocados por venganzas,40,2,1,0,0
2007321021,182,0,0,GALICIA,OURENSE,A LIMIA,MUIÑOS,41.891159,-7.940044,11/10/2007,540,615,4,Sin datos,6,4,4,0,11496
2006210028,181.8,0,0,ANDALUCIA,HUELVA,EL CONDADO,BEAS,37.48144,-6.82937,5/27/2006,473,2448,6,INCENDIO REPRODUCIDO,114,17,7,0,0
2011240529,181.7,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,VILLAFRANCA DEL BIERZO,42.764484,-6.876631,10/6/2011,2864,8697,4,Sin datos,113,4,4,0,0
2002360337,181,0,0,GALICIA,PONTEVEDRA,O CONDADO-A PARANDATA,CRECENTE,42.178803,-8.187825,3/27/2002,725,880,5,CAUSA DESCONOCIDA,54,0,4,110952,210028
2003160047,181,0,0,CASTILLA-MANCHA,CUENCA,SERRANIA MEDIA,VALDETÓRTOLA,39.926052,-2.169384,7/1/2003,935,3275,3,MOTORES Y MÁQUINAS (SIN ESPECIFICAR),177,11,6,0,89084
2009240695,181,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,VILLAFRANCA DEL BIERZO,42.635844,-6.797589,9/10/2009,2311,2798,4,Sin datos,202,9,11,0,0
2011390144,180.7,0,0,CANTABRIA,CANTABRIA,COMARCA 10,ARREDONDO,43.269255,-3.63252,2/10/2011,1290,1965,4,Provocados por pastores y ganaderos para regenerar el pasto,16,0,1,39,60393
2001240291,180,0,0,CASTILLA Y LEON,LEON,ASTORGA,VILLAGATON,42.637016,-6.176484,8/12/2001,452,493,4,Provocados por pastores y ganaderos para regenerar el pasto,77,6,2,10326,14322
2002060410,180,0,0,EXTREMADURA,BADAJOZ,LA SERENA,PERALEDA DEL ZAUCEJO,38.478145,-5.575337,7/25/2002,930,1110,4,Sin datos,116,6,6,0,20400
2002100527,180,0,0,EXTREMADURA,CACERES,AMBROZ-JERTE Y TIETAR,TEJEDA DE TIÉTAR,39.994866,-5.868797,7/30/2002,0,0,5,CAUSA DESCONOCIDA,27,1,5,0,0
2002310020,180,0,0,NAVARRA,NAVARRA,ZONA 1,BAZTAN,43.160294,-1.505094,2/2/2002,0,0,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),13,2,0,0,651000
2002330279,180,0,0,ASTURIAS,ASTURIAS,EO-NAVIA,VALDÉS,43.496731,-6.467141,1/28/2002,990,1830,4,Provocados por pastores y ganaderos para regenerar el pasto,28,2,4,124,16267
2002390154,180,0,0,CANTABRIA,CANTABRIA,COMARCA 3,TUDANCA,43.15603,-4.360318,1/29/2002,2460,2550,4,Sin datos,24,0,1,360,113903
2003100724,180,0,0,EXTREMADURA,CACERES,HURDES,NUÑOMORAL,40.409443,-6.225505,9/24/2003,310,3130,4,Provocados por cazadores para facilitar la caza,136,1,7,0,480116
2003240249,180,0,0,CASTILLA Y LEON,LEON,LA VECILLA-LA ROBLA,POLA DE GORDON LA,42.876039,-5.690063,8/6/2003,0,0,4,Sin datos,27,1,1,0,8961
2004490439,180,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,PUEBLA DE SANABRIA,42.041959,-6.634803,8/15/2004,440,500,4,Sin datos,18,7,5,0,0
2005390016,180,0,0,CANTABRIA,CANTABRIA,COMARCA 9,VILLACARRIEDO,43.224126,-3.831863,1/10/2005,0,0,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),8,1,0,661,0
2005490022,180,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.083742,-6.954545,1/22/2005,4320,4560,4,Provocados por pastores y ganaderos para regenerar el pasto,9,0,0,0,0
2007320588,180,0,0,GALICIA,OURENSE,VALDEORRAS-TRIVES,CARBALLEDA DE VALDEORRAS,42.319321,-6.79015,9/28/2007,736,765,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,22,7,0,0,0
2010331597,180,0,0,ASTURIAS,ASTURIAS,NARCEA,ALLANDE,43.254251,-6.662273,9/5/2010,1925,2645,4,Provocados por pastores y ganaderos para regenerar el pasto,41,0,4,0,161749
2005210238,179.97,0,0,ANDALUCIA,HUELVA,HUELVA,MOGUER,37.213179,-6.838964,8/24/2005,380,575,4,Sin datos,119,14,15,0,0
2011240535,178.92,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,VEGA DE VALCARCE,42.683312,-6.96321,10/8/2011,1070,1345,4,Sin datos,28,2,1,0,0
2011322410,178.64,0,0,GALICIA,OURENSE,VERIN-VIANA,VIANA DO BOLO,42.158591,-7.137233,10/16/2011,2921,3202,4,Provocados por pirómanos,8,0,0,0,34777
